Group,Index,Ethnicity,Race
B03002,1,All,All
B03002,3,Not Hispanic or Latino,White alone
B03002,4,Not Hispanic or Latino,Black or African American alone
B03002,5,Not Hispanic or Latino,American Indian and Alaska Native alone
B03002,6,Not Hispanic or Latino,Asian alone
B03002,7,Not Hispanic or Latino,Native Hawaiian and Other Pacific Islander alone
B03002,8,Not Hispanic or Latino,Some other race alone
B03002,9,Not Hispanic or Latino,Two or more races
B03002,13,Hispanic or Latino,White alone
B03002,14,Hispanic or Latino,Black or African American alone
B03002,15,Hispanic or Latino,American Indian and Alaska Native alone
B03002,16,Hispanic or Latino,Asian alone
B03002,17,Hispanic or Latino,Native Hawaiian and Other Pacific Islander alone
B03002,18,Hispanic or Latino,Some other race alone
B03002,19,Hispanic or Latino,Two or more races
